machine,model,checkpoint_role,train_precision,eval_precision,shape,num_examples,n_seeds,accuracy_mean,accuracy_population_std
2080ti,flash,best,fp16,fp16,1024x256,500,3,0.937015625,0.023678403424576153
2080ti,flash,best,fp16,fp16,1024x256,1000,3,0.9369140625,0.024022747703511423
2080ti,flash,best,fp16,fp16,128x32,1000,3,0.9961875,0.0011362286851686082
2080ti,flash,best,fp16,fp16,2048x512,500,3,0.7114830729166667,0.06571859446287634
2080ti,flash,best,fp16,fp16,256x64,1000,3,0.997484375,0.0011048543456040223
2080ti,flash,best,fp16,fp16,4096x1024,500,3,0.34697460937499996,0.05773993428900318
2080ti,flash,best,fp16,fp16,512x128,1000,3,0.9912734375,0.004018410593495469
2080ti,flash,best,fp16,fp16,512x64,1000,3,0.9926510416666666,0.0024130158307200705
2080ti,flash,best,fp16,fp16,64x16,1000,3,0.9999583333333334,2.946278254942315e-05
2080ti,flash,best,fp16,fp16,64x4,1000,3,1.0,0.0
2080ti,flash,best,fp16,fp16,64x8,1000,3,1.0,0.0
2080ti,flash,best,fp16,fp16,8190x2047,500,3,0.11359159690638383,0.02347899235821242
2080ti,flash,best,fp16,fp16,8190x512,500,3,0.58937109375,0.05708203566067013
2080ti,flash,best,fp16,fp32,1024x256,500,3,0.9370234375,0.023634671500575265
2080ti,flash,best,fp16,fp32,1024x256,1000,3,0.936921875,0.02398333946088336
2080ti,flash,best,fp16,fp32,128x32,1000,3,0.9961666666666666,0.0011146320082829578
2080ti,flash,best,fp16,fp32,2048x512,500,3,0.7115338541666667,0.06565276479975374
2080ti,flash,best,fp16,fp32,256x64,1000,3,0.9974739583333333,0.001097562798760187
2080ti,flash,best,fp16,fp32,4096x1024,500,3,0.3468307291666667,0.057718683585722116
2080ti,flash,best,fp16,fp32,512x128,1000,3,0.9912447916666667,0.004018138872122258
2080ti,flash,best,fp16,fp32,512x64,1000,3,0.9926822916666667,0.0024014878923747096
2080ti,flash,best,fp16,fp32,64x16,1000,3,0.9999583333333334,2.946278254942315e-05
2080ti,flash,best,fp16,fp32,64x4,1000,3,1.0,0.0
2080ti,flash,best,fp16,fp32,64x8,1000,3,1.0,0.0
2080ti,flash,best,fp16,fp32,8190x2047,500,3,0.11353557998935382,0.023434974708146445
2080ti,flash,best,fp16,fp32,8190x512,500,3,0.58930859375,0.056913839170375145
2080ti,flash,best,fp32,fp16,1024x256,500,3,0.9644375,0.016029777791400166
2080ti,flash,best,fp32,fp16,1024x256,1000,3,0.9642552083333333,0.016275011217380744
2080ti,flash,best,fp32,fp16,128x32,1000,3,0.9972708333333333,0.00048702790531507005
2080ti,flash,best,fp32,fp16,2048x512,500,3,0.7777135416666666,0.042374135816596235
2080ti,flash,best,fp32,fp16,256x64,1000,3,0.9984739583333333,0.0001867752195524911
2080ti,flash,best,fp32,fp16,4096x1024,500,3,0.39802408854166665,0.0321701073659372
2080ti,flash,best,fp32,fp16,512x128,1000,3,0.9962578125,0.0025924318939945113
2080ti,flash,best,fp32,fp16,512x64,1000,3,0.9946458333333333,0.00038492367118545304
2080ti,flash,best,fp32,fp16,64x16,1000,3,0.9999583333333334,2.946278254942315e-05
2080ti,flash,best,fp32,fp16,64x4,1000,3,0.9999166666666667,0.00011785113019774494
2080ti,flash,best,fp32,fp16,64x8,1000,3,0.9999583333333333,5.892556509889864e-05
2080ti,flash,best,fp32,fp16,8190x2047,500,3,0.13135450104872387,0.007946101542039298
2080ti,flash,best,fp32,fp16,8190x512,500,3,0.6443138020833333,0.040478439850694714
2080ti,flash,best,fp32,fp32,1024x256,500,3,0.9643932291666667,0.015989402228208903
2080ti,flash,best,fp32,fp32,1024x256,1000,3,0.96428125,0.016290715156470105
2080ti,flash,best,fp32,fp32,128x32,1000,3,0.9972604166666666,0.000482326537616283
2080ti,flash,best,fp32,fp32,2048x512,500,3,0.7776940104166666,0.042344458732601495
2080ti,flash,best,fp32,fp32,256x64,1000,3,0.9984739583333333,0.0001867752195524911
2080ti,flash,best,fp32,fp32,4096x1024,500,3,0.3980657552083333,0.03206116649225046
2080ti,flash,best,fp32,fp32,512x128,1000,3,0.9962552083333334,0.0025803047393172076
2080ti,flash,best,fp32,fp32,512x64,1000,3,0.9946458333333333,0.0003965864546000007
2080ti,flash,best,fp32,fp32,64x16,1000,3,0.9999583333333334,2.946278254942315e-05
2080ti,flash,best,fp32,fp32,64x4,1000,3,0.9999166666666667,0.00011785113019774494
2080ti,flash,best,fp32,fp32,64x8,1000,3,0.9999583333333333,5.892556509889864e-05
2080ti,flash,best,fp32,fp32,8190x2047,500,3,0.1313307263851166,0.007908584264471044
2080ti,flash,best,fp32,fp32,8190x512,500,3,0.6443802083333333,0.040473557912661835
2080ti,flash,last,fp16,fp16,1024x256,500,3,0.9356979166666667,0.023219479307093328
2080ti,flash,last,fp16,fp16,1024x256,1000,3,0.93577734375,0.02364548923953476
2080ti,flash,last,fp16,fp16,128x32,1000,3,0.9960520833333333,0.0010030335931008687
2080ti,flash,last,fp16,fp16,2048x512,500,3,0.6562278645833334,0.0880410801533536
2080ti,flash,last,fp16,fp16,256x64,1000,3,0.9976145833333333,0.0012075024082677049
2080ti,flash,last,fp16,fp16,4096x1024,500,3,0.2653216145833333,0.11118921438430664
2080ti,flash,last,fp16,fp16,512x128,1000,3,0.9921458333333334,0.004543277559784689
2080ti,flash,last,fp16,fp16,512x64,1000,3,0.9927447916666666,0.002472581853914179
