source_machine,accuracy,checkpoint_role,dataset_hash,eval_precision,event_id,logical_source_id,loss,machine,model,num_examples,peak_allocated_mib,seed,shape,status,train_precision,wall_clock_sec
2080ti,0.2957578125,last,37a8533a985fabd3db03daf9dfd3a8e0936513ab724039c63b9a22bf352d002d,fp32,formal-priority-2080ti-gdn-s123-fp32-last-evalfp32-8190x512-n500-b8-c21cb50d4f9001c6-ze56fa9ab-f9a8bf707,2080ti-gdn-s123-fp32-last,5.4352266902923585,2080ti,gdn,500,4142.72265625,123,8190x512,completed,fp32,42.90760485897772
2080ti,0.0036687836283817886,last,8c16a91ea127bb7bf2130238ecd56b49fb1fd73bb3e0c2f4c586ddba8e9b97a9,fp32,formal-priority-2080ti-gdn-s123-fp32-last-evalfp32-8190x2047-n500-b8-c21cb50d4f9001c6-ze56fa9ab-f9a8bf707,2080ti-gdn-s123-fp32-last,9.038161518096924,2080ti,gdn,500,4142.72265625,123,8190x2047,completed,fp32,43.889614780200645
2080ti,0.29566796875,last,37a8533a985fabd3db03daf9dfd3a8e0936513ab724039c63b9a22bf352d002d,fp16,formal-priority-2080ti-gdn-s123-fp32-last-evalfp16-8190x512-n500-b8-c21cb50d4f9001c6-ze56fa9ab-f9a8bf707,2080ti-gdn-s123-fp32-last,5.435538694381714,2080ti,gdn,500,5135.53759765625,123,8190x512,completed,fp32,28.343378088902682
2080ti,0.0036658525108359753,last,8c16a91ea127bb7bf2130238ecd56b49fb1fd73bb3e0c2f4c586ddba8e9b97a9,fp16,formal-priority-2080ti-gdn-s123-fp32-last-evalfp16-8190x2047-n500-b8-c21cb50d4f9001c6-ze56fa9ab-f9a8bf707,2080ti-gdn-s123-fp32-last,9.038265298843383,2080ti,gdn,500,5135.53759765625,123,8190x2047,completed,fp32,28.623629743931815
2080ti,0.2957578125,best,37a8533a985fabd3db03daf9dfd3a8e0936513ab724039c63b9a22bf352d002d,fp32,formal-priority-2080ti-gdn-s123-fp32-last-evalfp32-8190x512-n500-b8-c21cb50d4f9001c6-ze56fa9ab-f9a8bf707,2080ti-gdn-s123-fp32-best,5.4352266902923585,2080ti,gdn,500,,123,8190x512,deduplicated,fp32,
2080ti,0.0036687836283817886,best,8c16a91ea127bb7bf2130238ecd56b49fb1fd73bb3e0c2f4c586ddba8e9b97a9,fp32,formal-priority-2080ti-gdn-s123-fp32-last-evalfp32-8190x2047-n500-b8-c21cb50d4f9001c6-ze56fa9ab-f9a8bf707,2080ti-gdn-s123-fp32-best,9.038161518096924,2080ti,gdn,500,,123,8190x2047,deduplicated,fp32,
2080ti,0.29566796875,best,37a8533a985fabd3db03daf9dfd3a8e0936513ab724039c63b9a22bf352d002d,fp16,formal-priority-2080ti-gdn-s123-fp32-last-evalfp16-8190x512-n500-b8-c21cb50d4f9001c6-ze56fa9ab-f9a8bf707,2080ti-gdn-s123-fp32-best,5.435538694381714,2080ti,gdn,500,,123,8190x512,deduplicated,fp32,
2080ti,0.0036658525108359753,best,8c16a91ea127bb7bf2130238ecd56b49fb1fd73bb3e0c2f4c586ddba8e9b97a9,fp16,formal-priority-2080ti-gdn-s123-fp32-last-evalfp16-8190x2047-n500-b8-c21cb50d4f9001c6-ze56fa9ab-f9a8bf707,2080ti-gdn-s123-fp32-best,9.038265298843383,2080ti,gdn,500,,123,8190x2047,deduplicated,fp32,
2080ti,1.0,last,59caf02282ef418abc77da09411e4dd086ec2be1f3a8df5bef214a3311d9fead,fp32,formal-deferred-2080ti-gdn-s123-fp32-last-evalfp32-64x4-n1000-b128-c21cb50d4f9001c6-ze56fa9ab-f9a8bf707,2080ti-gdn-s123-fp32-last,0.000779347363190027,2080ti,gdn,1000,607.8671875,123,64x4,completed,fp32,21.064296709140763
2080ti,1.0,last,712f2ed078441018d5e5105403984e30f54b89ce85313998e4ffaed260977d1b,fp32,formal-deferred-2080ti-gdn-s123-fp32-last-evalfp32-64x8-n1000-b128-c21cb50d4f9001c6-ze56fa9ab-f9a8bf707,2080ti-gdn-s123-fp32-last,0.0007997313644154928,2080ti,gdn,1000,607.8671875,123,64x8,completed,fp32,21.190519825089723
