checkpoint_role,seed,metric,a0,a1,a1_minus_a0
last,123,standard_mqar_1024x256,0.9721484375,0.9563828125,-0.015765625000000005
last,123,2048x512,0.8161328125,0.76726953125,-0.04886328125000006
last,123,4096x1024,0.44147265625,0.400912109375,-0.04056054687499999
last,123,8190x512,0.6822890625,0.63882421875,-0.04346484375000004
last,123,8190x2047,0.14522911193966864,0.13534928920865058,-0.009879822731018062
last,124,standard_mqar_1024x256,0.97903125,0.96769140625,-0.011339843749999967
last,124,2048x512,0.83156640625,0.80460546875,-0.02696093749999995
last,124,4096x1024,0.450578125,0.4344296875,-0.0161484375
last,124,8190x512,0.69383203125,0.6734375,-0.020394531250000014
last,124,8190x2047,0.1449535869061947,0.1445901283621788,-0.00036345854401589883
last,125,standard_mqar_1024x256,0.982046875,0.88856640625,-0.09348046874999993
last,125,2048x512,0.86105859375,0.5506640625,-0.31039453125000005
last,125,4096x1024,0.5136015625,0.203142578125,-0.31045898437499997
last,125,8190x512,0.7435234375,0.42996875,-0.31355468750000004
last,125,8190x2047,0.1821582816839218,0.05576453361660242,-0.1263937480673194
