precision,checkpoint_role,task,p0_accuracy,k2_accuracy,delta,threshold,passed
bf16,last,validation-1024x256,0.962171875,0.951828125,-0.01034375,-0.01,false
bf16,last,locked-eval-1024x256,0.9616875,0.9529765625,-0.0087109375,-0.01,true
bf16,last,2048x512,0.83131640625,0.8019765625,-0.02933984375,,
bf16,last,4096x1024,0.529271484375,0.471724609375,-0.057546875,,
bf16,last,8190x512,0.69132421875,0.66741796875,-0.02390625,,
bf16,last,8190x2047,0.217395211994648,0.170989744782448,-0.0464054672122,,
bf16,last,four-slice-macro,0.567326830342412,0.528027221351862,-0.03929960899055,-0.02,false
fp32,last,validation-1024x256,0.9577265625,0.96866796875,0.01094140625,-0.01,true
fp32,last,locked-eval-1024x256,0.958140625,0.968421875,0.01028125,-0.01,true
fp32,last,2048x512,0.81335546875,0.85652734375,0.043171875,,
fp32,last,4096x1024,0.4870078125,0.57426171875,0.08725390625,,
fp32,last,8190x512,0.6567734375,0.75433984375,0.09756640625,,
fp32,last,8190x2047,0.179491941332817,0.252553980827332,0.0730620394945145,,
fp32,last,four-slice-macro,0.534157165020704,0.609420721769333,0.0752635567486286,-0.02,true
