arm,seed,checkpoint_role,endpoint_1024x256,extrapolation_macro,standard_macro,longer_endpoint_1024x256,extrapolation_retention,accuracy_2048x512-n500,accuracy_4096x1024-n500,accuracy_8190x512-n500,accuracy_8190x2047-n500
flash-fastest,123,last,0.76400390625,0.08147318699047901,0.96842041015625,0.7635078125,0.10670904168446739,0.200015625,0.012302734375,0.1132265625,0.00034782608691602947
flash-canonical,123,last,0.75992578125,0.07741117360204225,0.9684047851562501,0.761421875,0.10166660053211926,0.18805078125,0.010755859375,0.11050390625,0.00033414753316901623
gdn,123,last,0.96955078125,0.21266595957922982,0.99610302734375,0.969625,0.21932804906972264,0.47741015625,0.073748046875,0.29596484375,0.003540791441919282
flash-fastest,124,last,0.7602890625,0.07826469256659038,0.9683818359375,0.761984375,0.10271167642589833,0.19099609375,0.011150390625,0.11055078125,0.0003615046413615346
flash-canonical,124,last,0.77551171875,0.08277518834726652,0.97051025390625,0.77903125,0.10625400245146331,0.200484375,0.012546875,0.1177265625,0.0003429408890660852
gdn,124,last,0.9662421875,0.2106635062485584,0.995681640625,0.966859375,0.21788432909238575,0.47345703125,0.0728203125,0.29293359375,0.0034430874942336233
flash-fastest,125,last,0.760171875,0.0891807234577136,0.9675185546875,0.761453125,0.11711912464436154,0.217390625,0.017025390625,0.1218203125,0.0004865657058544457
flash-canonical,125,last,0.7961328125,0.090021039030049,0.9729091796875,0.7976484375,0.11285803970505365,0.21883984375,0.014052734375,0.12683984375,0.00035173424519598486
gdn,125,last,0.969484375,0.21732051884190878,0.9960634765625,0.9693046875,0.2242024841563647,0.484015625,0.076900390625,0.30467578125,0.003690278492635116
flash-fastest,123,best,0.95421875,0.507252511665225,0.9918974609375,0.95434375,0.5315197083495595,0.79668359375,0.455732421875,0.6160234375,0.1605705935359001
flash-canonical,123,best,0.9570625,0.5453969236463309,0.9923720703125,0.956625,0.5701261451941261,0.8114765625,0.49887890625,0.67362890625,0.19760331958532334
gdn,123,best,0.96955078125,0.21266595957922982,0.99610302734375,0.969625,0.21932804906972264,0.47741015625,0.073748046875,0.29596484375,0.003540791441919282
flash-fastest,124,best,0.97536328125,0.6338104676008225,0.99526806640625,0.975703125,0.6495935611570605,0.8789453125,0.605958984375,0.7789765625,0.2713610110282898
flash-canonical,124,best,0.96965234375,0.6139392789602279,0.99381591796875,0.9697890625,0.633064758822466,0.86452734375,0.584619140625,0.75203515625,0.25457547521591184
gdn,124,best,0.9662421875,0.2106635062485584,0.995681640625,0.966859375,0.21788432909238575,0.47345703125,0.0728203125,0.29293359375,0.0034430874942336233
flash-fastest,125,best,0.882640625,0.38458222573250533,0.9781337890625,0.8818984375,0.43608448476529404,0.62858984375,0.2938125,0.51833203125,0.09759452793002128
flash-canonical,125,best,0.97459375,0.6346962547302246,0.9951240234375001,0.97471875,0.651158351811971,0.87493359375,0.60782421875,0.77429296875,0.28173423767089845
gdn,125,best,0.969484375,0.21732051884190878,0.9960634765625,0.9693046875,0.2242024841563647,0.484015625,0.076900390625,0.30467578125,0.003690278492635116
