left,right,seed,checkpoint_role,delta_endpoint_1024x256,delta_extrapolation_macro,delta_standard_macro,delta_longer_endpoint_1024x256,delta_extrapolation_retention,delta_accuracy_2048x512-n500,delta_accuracy_4096x1024-n500,delta_accuracy_8190x512-n500,delta_accuracy_8190x2047-n500
flash-fastest,gdn,123,best,-0.015332031250000044,0.29458655208599516,-0.0042055664062500275,-0.015281249999999913,0.3121916592798369,0.3192734375,0.38198437500000004,0.32005859375,0.15702980209398082
flash-fastest,gdn,124,best,0.009121093750000031,0.4231469613522641,-0.00041357421874999023,0.008843750000000039,0.4317092320646747,0.40548828124999997,0.533138671875,0.48604296875,0.2679179235340562
flash-fastest,gdn,125,best,-0.08684375,0.16726170689059655,-0.017929687500000013,-0.08740625000000002,0.21188200060892934,0.14457421875000004,0.216912109375,0.21365625000000005,0.09390424943738616
flash-fastest,gdn,123,last,-0.20554687500000002,-0.1311927725887508,-0.02768261718749998,-0.20611718749999997,-0.11261900738525525,-0.27739453125,-0.0614453125,-0.18273828124999997,-0.003192965355003253
flash-fastest,gdn,124,last,-0.20595312500000007,-0.13239881368196801,-0.02729980468749993,-0.20487499999999992,-0.11517265266648742,-0.2824609375,-0.061669921875,-0.1823828125,-0.0030815828528720887
flash-fastest,gdn,125,last,-0.2093124999999999,-0.12813979538419518,-0.028544921875000018,-0.20785156250000003,-0.10708335951200317,-0.266625,-0.059875,-0.18285546875,-0.00320371278678067
flash-fastest,flash-canonical,123,best,-0.0028437500000000338,-0.03814441198110585,-0.00047460937499999023,-0.0022812499999999014,-0.03860643684456655,-0.014792968750000024,-0.04314648437499996,-0.057605468750000055,-0.03703272604942323
flash-fastest,flash-canonical,124,best,0.005710937500000068,0.01987118864059456,0.0014521484374999671,0.005914062500000039,0.016528802334594417,0.01441796875000001,0.021339843749999976,0.026941406250000077,0.01678553581237796
flash-fastest,flash-canonical,125,best,-0.09195312500000008,-0.2501140289977193,-0.016990234375000024,-0.0928203125,-0.21507386704667697,-0.24634374999999997,-0.31401171875000006,-0.25596093749999993,-0.18413970974087718
flash-fastest,flash-canonical,123,last,0.0040781250000000435,0.004062013388436758,1.5624999999963585e-05,0.002085937499999968,0.005042441152348129,0.01196484375000001,0.0015468750000000014,0.0027226562499999968,1.3678553747013236e-05
flash-fastest,flash-canonical,124,last,-0.015222656250000077,-0.004510495780676138,-0.0021284179687499627,-0.017046874999999906,-0.003542326025564979,-0.00948828124999998,-0.0013964843750000015,-0.007175781250000013,1.8563752295449383e-05
flash-fastest,flash-canonical,125,last,-0.035960937499999956,-0.0008403155723353956,-0.005390624999999982,-0.036195312500000076,0.004261084939307894,-0.0014492187500000087,0.0029726562500000005,-0.005019531249999987,0.00013483146065846084
flash-canonical,gdn,123,best,-0.01248828125000001,0.332730964067101,-0.0037309570312500373,-0.013000000000000012,0.35079809612440344,0.33406640625,0.42513085937499995,0.37766406250000006,0.19406252814340405
flash-canonical,gdn,124,best,0.0034101562499999627,0.40327577271166953,-0.0018657226562499574,0.0029296875,0.4151804297300803,0.39107031249999996,0.511798828125,0.45910156249999995,0.25113238772167823
flash-canonical,gdn,125,best,0.005109375000000083,0.41737573588831584,-0.0009394531249999893,0.005414062499999983,0.42695586765560634,0.39091796875,0.530923828125,0.4696171875,0.27804395917826336
flash-canonical,gdn,123,last,-0.20962500000000006,-0.13525478597718757,-0.027698242187499944,-0.20820312499999993,-0.11766144853760338,-0.289359375,-0.0629921875,-0.18546093749999998,-0.003206643908750266
flash-canonical,gdn,124,last,-0.19073046875,-0.12788831790129188,-0.025171386718749966,-0.187828125,-0.11163032664092244,-0.27297265625,-0.0602734375,-0.17520703124999998,-0.0031001466051675383
flash-canonical,gdn,125,last,-0.17335156249999994,-0.1272994798118598,-0.023154296875000036,-0.17165624999999995,-0.11134444445131106,-0.26517578124999996,-0.06284765625,-0.1778359375,-0.003338544247439131
