scope,case,block_len,local_num_blocks,weighting,total_units,local_units,remote_units,local_fraction,remote_fraction,dataset_hash
train,64x4,64,1,query_count,400000,400000,0,1.000000000,0.000000000,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8
train,64x4,64,2,query_count,400000,400000,0,1.000000000,0.000000000,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8
train,128x8,64,1,query_count,160000,121855,38145,0.761593750,0.238406250,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8
train,128x8,64,2,query_count,160000,160000,0,1.000000000,0.000000000,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8
train,256x16,64,1,query_count,320000,156282,163718,0.488381250,0.511618750,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8
train,256x16,64,2,query_count,320000,246031,73969,0.768846875,0.231153125,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8
train,256x32,64,1,query_count,640000,0,640000,0.000000000,1.000000000,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8
train,256x32,64,2,query_count,640000,386677,253323,0.604182813,0.395817187,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8
train,256x64,64,1,query_count,1280000,0,1280000,0.000000000,1.000000000,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8
train,256x64,64,2,query_count,1280000,199752,1080248,0.156056250,0.843943750,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8
train,all,64,1,query_count,2800000,678137,2121863,0.242191786,0.757808214,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8
train,all,64,2,query_count,2800000,1392460,1407540,0.497307143,0.502692857,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8
train,all,32,2,query_count_rounded,2800000,,,0.276780000,0.723220000,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8
train,all,32,4,query_count_rounded,2800000,,,0.589840000,0.410160000,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8
train,all,32,2,microbatch_mean_rounded,2815,,,0.710490000,0.289510000,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8
train,all,64,1,microbatch_mean_rounded,2815,,,0.694220000,0.305780000,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8
train,all,32,4,microbatch_mean_rounded,2815,,,0.863550000,0.136450000,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8
train,all,64,2,microbatch_mean_rounded,2815,,,0.836450000,0.163550000,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8
eval,standard-1024x256-n1000,64,1,query_count,256000,0,256000,0.000000000,1.000000000,4e659938a27b5e33a3d99d261f1b2680fdeb1cd8c74363ea5a71ac4d1c36296c
eval,standard-1024x256-n1000,64,2,query_count,256000,1,255999,0.000003906,0.999996094,4e659938a27b5e33a3d99d261f1b2680fdeb1cd8c74363ea5a71ac4d1c36296c
eval,longer-1024x256-n500,64,1,query_count,128000,0,128000,0.000000000,1.000000000,f30f1e09e1300deb2e0f430d7c50c47a77f58f43657aa4d6f425f938a91a9acb
eval,longer-1024x256-n500,64,2,query_count,128000,0,128000,0.000000000,1.000000000,f30f1e09e1300deb2e0f430d7c50c47a77f58f43657aa4d6f425f938a91a9acb
eval,longer-2048x512-n500,64,1,query_count,256000,0,256000,0.000000000,1.000000000,e446efc9f4dc774377c56c403a468c747870beb18ff0320f15df794dcb69f015
eval,longer-2048x512-n500,64,2,query_count,256000,0,256000,0.000000000,1.000000000,e446efc9f4dc774377c56c403a468c747870beb18ff0320f15df794dcb69f015
eval,longer-4096x1024-n500,64,1,query_count,512000,0,512000,0.000000000,1.000000000,0981292ce8ebea1402a4c3a7a6655dfc1de42688c329bd5ea921541a0f1d16ed
eval,longer-4096x1024-n500,64,2,query_count,512000,0,512000,0.000000000,1.000000000,0981292ce8ebea1402a4c3a7a6655dfc1de42688c329bd5ea921541a0f1d16ed
eval,longer-8190x512-n500,64,1,query_count,256000,0,256000,0.000000000,1.000000000,37a8533a985fabd3db03daf9dfd3a8e0936513ab724039c63b9a22bf352d002d
eval,longer-8190x512-n500,64,2,query_count,256000,23,255977,0.000089844,0.999910156,37a8533a985fabd3db03daf9dfd3a8e0936513ab724039c63b9a22bf352d002d
eval,longer-8190x2047-n500,64,1,query_count,1023500,0,1023500,0.000000000,1.000000000,8c16a91ea127bb7bf2130238ecd56b49fb1fd73bb3e0c2f4c586ddba8e9b97a9
eval,longer-8190x2047-n500,64,2,query_count,1023500,0,1023500,0.000000000,1.000000000,8c16a91ea127bb7bf2130238ecd56b49fb1fd73bb3e0c2f4c586ddba8e9b97a9
