run_id,launch_id,case,metric,value,final_epoch,final_validation_index,timestamp_utc
ek4-ev4-s123-d123-b64-ga4-fp32-noearly4ep,flash-vqg-20260526-gdn-flash-fairness-phase1-2026-05-26-11-35-02,1024x256,valid/mqar_case/accuracy-1024x256,0.93885546875,4,8,2026-05-26T11:57:52.315463+00:00
ek4-ev4-s123-d123-b64-ga4-fp32-noearly4ep,flash-vqg-20260526-gdn-flash-fairness-phase1-2026-05-26-11-35-02,128x32,valid/mqar_case/accuracy-128x32,1.0,4,8,2026-05-26T11:57:52.315559+00:00
ek4-ev4-s123-d123-b64-ga4-fp32-noearly4ep,flash-vqg-20260526-gdn-flash-fairness-phase1-2026-05-26-11-35-02,256x64,valid/mqar_case/accuracy-256x64,1.0,4,8,2026-05-26T11:57:52.315651+00:00
ek4-ev4-s123-d123-b64-ga4-fp32-noearly4ep,flash-vqg-20260526-gdn-flash-fairness-phase1-2026-05-26-11-35-02,512x128,valid/mqar_case/accuracy-512x128,0.9998984375,4,8,2026-05-26T11:57:52.315743+00:00
ek4-ev4-s123-d123-b64-ga4-fp32-noearly4ep,flash-vqg-20260526-gdn-flash-fairness-phase1-2026-05-26-11-35-02,512x64,valid/mqar_case/accuracy-512x64,0.999453125,4,8,2026-05-26T11:57:52.315834+00:00
ek4-ev4-s123-d123-b64-ga4-fp32-noearly4ep,flash-vqg-20260526-gdn-flash-fairness-phase1-2026-05-26-11-35-02,64x16,valid/mqar_case/accuracy-64x16,1.0,4,8,2026-05-26T11:57:52.315925+00:00
ek4-ev4-s123-d123-b64-ga4-fp32-noearly4ep,flash-vqg-20260526-gdn-flash-fairness-phase1-2026-05-26-11-35-02,64x4,valid/mqar_case/accuracy-64x4,1.0,4,8,2026-05-26T11:57:52.316045+00:00
ek4-ev4-s123-d123-b64-ga4-fp32-noearly4ep,flash-vqg-20260526-gdn-flash-fairness-phase1-2026-05-26-11-35-02,64x8,valid/mqar_case/accuracy-64x8,0.999875,4,8,2026-05-26T11:57:52.316153+00:00
mh-h4-k256-v128-s123-d123-b64-ga4-fp32-noearly4ep,flash-vqg-20260526-gdn-flash-fairness-phase1-2026-05-26-11-35-02,1024x256,valid/mqar_case/accuracy-1024x256,0.9551015625,4,8,2026-05-26T12:19:46.066540+00:00
mh-h4-k256-v128-s123-d123-b64-ga4-fp32-noearly4ep,flash-vqg-20260526-gdn-flash-fairness-phase1-2026-05-26-11-35-02,128x32,valid/mqar_case/accuracy-128x32,1.0,4,8,2026-05-26T12:19:46.066661+00:00
mh-h4-k256-v128-s123-d123-b64-ga4-fp32-noearly4ep,flash-vqg-20260526-gdn-flash-fairness-phase1-2026-05-26-11-35-02,256x64,valid/mqar_case/accuracy-256x64,1.0,4,8,2026-05-26T12:19:46.066754+00:00
mh-h4-k256-v128-s123-d123-b64-ga4-fp32-noearly4ep,flash-vqg-20260526-gdn-flash-fairness-phase1-2026-05-26-11-35-02,512x128,valid/mqar_case/accuracy-512x128,0.9999453125,4,8,2026-05-26T12:19:46.066843+00:00
mh-h4-k256-v128-s123-d123-b64-ga4-fp32-noearly4ep,flash-vqg-20260526-gdn-flash-fairness-phase1-2026-05-26-11-35-02,512x64,valid/mqar_case/accuracy-512x64,0.999578125,4,8,2026-05-26T12:19:46.066933+00:00
mh-h4-k256-v128-s123-d123-b64-ga4-fp32-noearly4ep,flash-vqg-20260526-gdn-flash-fairness-phase1-2026-05-26-11-35-02,64x16,valid/mqar_case/accuracy-64x16,1.0,4,8,2026-05-26T12:19:46.067052+00:00
mh-h4-k256-v128-s123-d123-b64-ga4-fp32-noearly4ep,flash-vqg-20260526-gdn-flash-fairness-phase1-2026-05-26-11-35-02,64x4,valid/mqar_case/accuracy-64x4,0.99975,4,8,2026-05-26T12:19:46.067168+00:00
mh-h4-k256-v128-s123-d123-b64-ga4-fp32-noearly4ep,flash-vqg-20260526-gdn-flash-fairness-phase1-2026-05-26-11-35-02,64x8,valid/mqar_case/accuracy-64x8,0.999875,4,8,2026-05-26T12:19:46.067256+00:00
mh-h8-k256-v64-s123-d123-b64-ga4-fp32-noearly4ep,flash-vqg-20260526-gdn-flash-fairness-phase1-2026-05-26-11-35-02,1024x256,valid/mqar_case/accuracy-1024x256,0.945796875,4,8,2026-05-26T12:44:31.920613+00:00
mh-h8-k256-v64-s123-d123-b64-ga4-fp32-noearly4ep,flash-vqg-20260526-gdn-flash-fairness-phase1-2026-05-26-11-35-02,128x32,valid/mqar_case/accuracy-128x32,1.0,4,8,2026-05-26T12:44:31.920708+00:00
mh-h8-k256-v64-s123-d123-b64-ga4-fp32-noearly4ep,flash-vqg-20260526-gdn-flash-fairness-phase1-2026-05-26-11-35-02,256x64,valid/mqar_case/accuracy-256x64,1.0,4,8,2026-05-26T12:44:31.920800+00:00
mh-h8-k256-v64-s123-d123-b64-ga4-fp32-noearly4ep,flash-vqg-20260526-gdn-flash-fairness-phase1-2026-05-26-11-35-02,512x128,valid/mqar_case/accuracy-512x128,0.9999609375,4,8,2026-05-26T12:44:31.920891+00:00
mh-h8-k256-v64-s123-d123-b64-ga4-fp32-noearly4ep,flash-vqg-20260526-gdn-flash-fairness-phase1-2026-05-26-11-35-02,512x64,valid/mqar_case/accuracy-512x64,0.999359375,4,8,2026-05-26T12:44:31.920982+00:00
mh-h8-k256-v64-s123-d123-b64-ga4-fp32-noearly4ep,flash-vqg-20260526-gdn-flash-fairness-phase1-2026-05-26-11-35-02,64x16,valid/mqar_case/accuracy-64x16,1.0,4,8,2026-05-26T12:44:31.921111+00:00
mh-h8-k256-v64-s123-d123-b64-ga4-fp32-noearly4ep,flash-vqg-20260526-gdn-flash-fairness-phase1-2026-05-26-11-35-02,64x4,valid/mqar_case/accuracy-64x4,0.99975,4,8,2026-05-26T12:44:31.921209+00:00
mh-h8-k256-v64-s123-d123-b64-ga4-fp32-noearly4ep,flash-vqg-20260526-gdn-flash-fairness-phase1-2026-05-26-11-35-02,64x8,valid/mqar_case/accuracy-64x8,0.999875,4,8,2026-05-26T12:44:31.921300+00:00
