abs_diff_from_ref,accuracy,batch_candidates,checkpoint_path,checkpoint_sha256,ci95_high,ci95_low,config_override,correct,dataset_hash,eval_batch_size,eval_seed,failure_detail,failure_type,fallback_count,fallback_failures,model_label,n,official_accuracy_ref,official_dataset_hash_ref,peak_memory_mb,run_status,sanity_status,seed,slice_num_kv_pairs,slice_seq_len,source_config_family,source_model_family,source_run_id,stderr,variant,variant_label,wall_clock_sec
0.0000000000,0.8941562500,8;4;2;1,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260520-flash-capacity-decomposition-gd-cb256-r4-s123-2026-05-20-13-04-52/gd-cb256-r4-s123-d123-b64-ga4-fp32-noearly4ep/last.pt,d3dc1bbc0cdb8167724ce29ec83deeb980d6f957719441e259bde63ed8d22281,0.8958416012,0.8924708988,"{""layers"": {""layer_0"": {""after"": {""block_len"": 32, ""if_remote_enabled"": true, ""local_num_blocks"": 2}, ""before"": {""block_len"": 32, ""if_remote_enabled"": true, ""local_num_blocks"": 2}}}, ""num_flash_layers"": 1, ""override"": {}}",114452,f30f1e09e1300deb2e0f430d7c50c47a77f58f43657aa4d6f425f938a91a9acb,8,123,,,0,[],cb256-r4-s123,128000,0.89415625,f30f1e09e1300deb2e0f430d7c50c47a77f58f43657aa4d6f425f938a91a9acb,561.357,completed,passed,123,256,1024,cb256-r4,flash,gd-cb256-r4-s123-d123-b64-ga4-fp32-noearly4ep,0.0008598730,full,cb256-r4-s123:full,83.851
0.0000000000,0.6666914063,8;4;2;1,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260520-flash-capacity-decomposition-gd-cb256-r4-s123-2026-05-20-13-04-52/gd-cb256-r4-s123-d123-b64-ga4-fp32-noearly4ep/last.pt,d3dc1bbc0cdb8167724ce29ec83deeb980d6f957719441e259bde63ed8d22281,0.6685174945,0.6648653180,"{""layers"": {""layer_0"": {""after"": {""block_len"": 32, ""if_remote_enabled"": true, ""local_num_blocks"": 2}, ""before"": {""block_len"": 32, ""if_remote_enabled"": true, ""local_num_blocks"": 2}}}, ""num_flash_layers"": 1, ""override"": {}}",170673,e446efc9f4dc774377c56c403a468c747870beb18ff0320f15df794dcb69f015,8,123,,,0,[],cb256-r4-s123,256000,0.66669140625,e446efc9f4dc774377c56c403a468c747870beb18ff0320f15df794dcb69f015,1109.668,completed,passed,123,512,2048,cb256-r4,flash,gd-cb256-r4-s123-d123-b64-ga4-fp32-noearly4ep,0.0009316777,full,cb256-r4-s123:full,161.687
,0.6200234375,8;4;2;1,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260520-flash-capacity-decomposition-gd-cb256-r4-s123-2026-05-20-13-04-52/gd-cb256-r4-s123-d123-b64-ga4-fp32-noearly4ep/last.pt,d3dc1bbc0cdb8167724ce29ec83deeb980d6f957719441e259bde63ed8d22281,0.6219037003,0.6181431747,"{""layers"": {""layer_0"": {""after"": {""block_len"": 32, ""if_remote_enabled"": true, ""local_num_blocks"": 2}, ""before"": {""block_len"": 32, ""if_remote_enabled"": true, ""local_num_blocks"": 2}}}, ""num_flash_layers"": 1, ""override"": {}}",158726,c0d72f24f32e8afcd192453a15113cee60455375a8563fbf8b3cfd3ba191f68f,8,123,,,0,[],cb256-r4-s123,256000,,,2206.688,completed,no_ref,123,512,4096,cb256-r4,flash,gd-cb256-r4-s123-d123-b64-ga4-fp32-noearly4ep,0.0009593177,full,cb256-r4-s123:full,333.534
0.0000000000,0.3806777344,8;4;2;1,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260520-flash-capacity-decomposition-gd-cb256-r4-s123-2026-05-20-13-04-52/gd-cb256-r4-s123-d123-b64-ga4-fp32-noearly4ep/last.pt,d3dc1bbc0cdb8167724ce29ec83deeb980d6f957719441e259bde63ed8d22281,0.3820077544,0.3793477144,"{""layers"": {""layer_0"": {""after"": {""block_len"": 32, ""if_remote_enabled"": true, ""local_num_blocks"": 2}, ""before"": {""block_len"": 32, ""if_remote_enabled"": true, ""local_num_blocks"": 2}}}, ""num_flash_layers"": 1, ""override"": {}}",194907,0981292ce8ebea1402a4c3a7a6655dfc1de42688c329bd5ea921541a0f1d16ed,8,123,,,0,[],cb256-r4-s123,512000,0.380677734375,0981292ce8ebea1402a4c3a7a6655dfc1de42688c329bd5ea921541a0f1d16ed,2206.688,completed,passed,123,1024,4096,cb256-r4,flash,gd-cb256-r4-s123-d123-b64-ga4-fp32-noearly4ep,0.0006785816,full,cb256-r4-s123:full,324.454
0.0000000000,0.9696250000,8;4;2;1,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260520-flash-capacity-decomposition-gd-cb64-r16-s123-2026-05-20-18-12-06/gd-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep/last.pt,46c1a28c3fa4b8ebf62b0e69c53c879b60504d4f27d1e1b76ddbc6a1bd2e89e1,0.9705651803,0.9686848197,"{""layers"": {""layer_0"": {""after"": {""block_len"": 32, ""if_remote_enabled"": true, ""local_num_blocks"": 2}, ""before"": {""block_len"": 32, ""if_remote_enabled"": true, ""local_num_blocks"": 2}}}, ""num_flash_layers"": 1, ""override"": {}}",124112,f30f1e09e1300deb2e0f430d7c50c47a77f58f43657aa4d6f425f938a91a9acb,8,123,,,0,[],cb64-r16-s123,128000,0.969625,f30f1e09e1300deb2e0f430d7c50c47a77f58f43657aa4d6f425f938a91a9acb,551.051,completed,passed,123,256,1024,cb64-r16,flash,gd-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep,0.0004796838,full,cb64-r16-s123:full,50.899
0.0000000000,0.8226445313,8;4;2;1,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260520-flash-capacity-decomposition-gd-cb64-r16-s123-2026-05-20-18-12-06/gd-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep/last.pt,46c1a28c3fa4b8ebf62b0e69c53c879b60504d4f27d1e1b76ddbc6a1bd2e89e1,0.8241242000,0.8211648625,"{""layers"": {""layer_0"": {""after"": {""block_len"": 32, ""if_remote_enabled"": true, ""local_num_blocks"": 2}, ""before"": {""block_len"": 32, ""if_remote_enabled"": true, ""local_num_blocks"": 2}}}, ""num_flash_layers"": 1, ""override"": {}}",210597,e446efc9f4dc774377c56c403a468c747870beb18ff0320f15df794dcb69f015,8,123,,,0,[],cb64-r16-s123,256000,0.82264453125,e446efc9f4dc774377c56c403a468c747870beb18ff0320f15df794dcb69f015,1089.150,completed,passed,123,512,2048,cb64-r16,flash,gd-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep,0.0007549330,full,cb64-r16-s123:full,102.364
,0.7807187500,8;4;2;1,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260520-flash-capacity-decomposition-gd-cb64-r16-s123-2026-05-20-18-12-06/gd-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep/last.pt,46c1a28c3fa4b8ebf62b0e69c53c879b60504d4f27d1e1b76ddbc6a1bd2e89e1,0.7823215677,0.7791159323,"{""layers"": {""layer_0"": {""after"": {""block_len"": 32, ""if_remote_enabled"": true, ""local_num_blocks"": 2}, ""before"": {""block_len"": 32, ""if_remote_enabled"": true, ""local_num_blocks"": 2}}}, ""num_flash_layers"": 1, ""override"": {}}",199864,c0d72f24f32e8afcd192453a15113cee60455375a8563fbf8b3cfd3ba191f68f,8,123,,,0,[],cb64-r16-s123,256000,,,2165.726,completed,no_ref,123,512,4096,cb64-r16,flash,gd-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep,0.0008177642,full,cb64-r16-s123:full,234.484
0.0000000000,0.4689238281,8;4;2;1,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260520-flash-capacity-decomposition-gd-cb64-r16-s123-2026-05-20-18-12-06/gd-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep/last.pt,46c1a28c3fa4b8ebf62b0e69c53c879b60504d4f27d1e1b76ddbc6a1bd2e89e1,0.4702907719,0.4675568844,"{""layers"": {""layer_0"": {""after"": {""block_len"": 32, ""if_remote_enabled"": true, ""local_num_blocks"": 2}, ""before"": {""block_len"": 32, ""if_remote_enabled"": true, ""local_num_blocks"": 2}}}, ""num_flash_layers"": 1, ""override"": {}}",240089,0981292ce8ebea1402a4c3a7a6655dfc1de42688c329bd5ea921541a0f1d16ed,8,123,,,0,[],cb64-r16-s123,512000,0.468923828125,0981292ce8ebea1402a4c3a7a6655dfc1de42688c329bd5ea921541a0f1d16ed,2165.726,completed,passed,123,1024,4096,cb64-r16,flash,gd-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep,0.0006974203,full,cb64-r16-s123:full,204.441
0.0005703125,0.8347500000,8;4;2;1,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-gdn-h2-ev8-s123-2026-05-20-01-08-57/gdn-h2-ev8-s123-d123-b64-ga4-fp32-noearly4ep/last.pt,250673e5758e635a85ce6830c733f5549a7a0393a3776ed0fceeb3ab43c5fd9e,0.8367846984,0.8327153016,{},106848,f30f1e09e1300deb2e0f430d7c50c47a77f58f43657aa4d6f425f938a91a9acb,8,123,,,0,[],gdn-h2-ev8-s123,128000,0.8341796875,f30f1e09e1300deb2e0f430d7c50c47a77f58f43657aa4d6f425f938a91a9acb,473.728,invalid,invalid,123,256,1024,gdn-h2-ev8-usegate0,gdn,gdn-h2-ev8-s123-d123-b64-ga4-fp32-noearly4ep,0.0010381114,full,gdn-h2-ev8-s123:full,88.747
0.0004257812,0.3657343750,8;4;2;1,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-gdn-h2-ev8-s123-2026-05-20-01-08-57/gdn-h2-ev8-s123-d123-b64-ga4-fp32-noearly4ep/last.pt,250673e5758e635a85ce6830c733f5549a7a0393a3776ed0fceeb3ab43c5fd9e,0.3676001298,0.3638686202,{},93628,e446efc9f4dc774377c56c403a468c747870beb18ff0320f15df794dcb69f015,8,123,,,0,[],gdn-h2-ev8-s123,256000,0.36530859375,e446efc9f4dc774377c56c403a468c747870beb18ff0320f15df794dcb69f015,533.478,invalid,invalid,123,512,2048,gdn-h2-ev8-usegate0,gdn,gdn-h2-ev8-s123-d123-b64-ga4-fp32-noearly4ep,0.0009519157,full,gdn-h2-ev8-s123:full,26.466
