model_label,variant,slice_seq_len,slice_num_kv_pairs,distance_bucket,n,accuracy,full_accuracy,delta_vs_full,relative_to_full,ci95_low,ci95_high
cb256-r4-s123,local_only,1024,256,65-128,2,0.0000000000,1.0000000000,-1.0000000000,0.0000000000,0.0000000000,0.0000000000
cb256-r4-s123,local_only,1024,256,129-256,2656,0.0011295181,0.9254518072,-0.9243222891,0.0012205045,0.0000000000,0.0024069660
cb256-r4-s123,local_only,1024,256,257-512,67913,0.0002061461,0.9007995524,-0.9005934063,0.0002288479,0.0000981713,0.0003141209
cb256-r4-s123,local_only,1024,256,513-1024,57429,0.0002786049,0.8848491180,-0.8845705131,0.0003148615,0.0001421075,0.0004151023
cb256-r4-s123,local_only,2048,512,129-256,12,0.0000000000,0.7500000000,-0.7500000000,0.0000000000,0.0000000000,0.0000000000
cb256-r4-s123,local_only,2048,512,257-512,5327,0.0001877229,0.6930730242,-0.6928853013,0.0002708559,0.0000000000,0.0005556253
cb256-r4-s123,local_only,2048,512,513-1024,135480,0.0002952465,0.6795246531,-0.6792294066,0.0004344898,0.0002037622,0.0003867309
cb256-r4-s123,local_only,2048,512,1025-2048,115181,0.0002430956,0.6503676822,-0.6501245866,0.0003737818,0.0001530627,0.0003331286
cb256-r4-s123,local_only,4096,512,33-64,1,0.0000000000,1.0000000000,-1.0000000000,0.0000000000,0.0000000000,0.0000000000
cb256-r4-s123,local_only,4096,512,65-128,47,0.0000000000,0.8085106383,-0.8085106383,0.0000000000,0.0000000000,0.0000000000
cb256-r4-s123,local_only,4096,512,129-256,1188,0.0000000000,0.6986531987,-0.6986531987,0.0000000000,0.0000000000,0.0000000000
cb256-r4-s123,local_only,4096,512,257-512,11677,0.0001712769,0.7010362251,-0.7008649482,0.0002443196,0.0000000000,0.0004086342
cb256-r4-s123,local_only,4096,512,513-1024,80946,0.0001482470,0.6895461172,-0.6893978702,0.0002149921,0.0000643746,0.0002321194
cb256-r4-s123,local_only,4096,512,1025-2048,100585,0.0001391858,0.6278868619,-0.6277476761,0.0002216734,0.0000662809,0.0002120907
cb256-r4-s123,local_only,4096,512,2049-4096,61556,0.0002761713,0.4987166158,-0.4984404445,0.0005537640,0.0001449059,0.0004074367
cb256-r4-s123,local_only,4096,1024,257-512,9,0.0000000000,0.3333333333,-0.3333333333,0.0000000000,0.0000000000,0.0000000000
cb256-r4-s123,local_only,4096,1024,513-1024,10403,0.0002883784,0.3924829376,-0.3921945592,0.0007347540,0.0000000000,0.0006146621
cb256-r4-s123,local_only,4096,1024,1025-2048,270920,0.0002288498,0.3909272110,-0.3906983612,0.0005854026,0.0001718910,0.0002858087
cb256-r4-s123,local_only,4096,1024,2049-4096,230668,0.0002167618,0.3681091439,-0.3678923821,0.0005888520,0.0001566850,0.0002768385
cb256-r4-s123,local1,1024,256,65-128,2,1.0000000000,1.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000
cb256-r4-s123,local1,1024,256,129-256,2656,0.9235692771,0.9254518072,-0.0018825301,0.9979658259,0.9134648718,0.9336736824
cb256-r4-s123,local1,1024,256,257-512,67913,0.8966766304,0.9007995524,-0.0041229220,0.9954230417,0.8943873614,0.8989658994
cb256-r4-s123,local1,1024,256,513-1024,57429,0.8804262655,0.8848491180,-0.0044228525,0.9950015744,0.8777725471,0.8830799839
cb256-r4-s123,local1,2048,512,129-256,12,0.7500000000,0.7500000000,0.0000000000,1.0000000000,0.5050000000,0.9950000000
cb256-r4-s123,local1,2048,512,257-512,5327,0.6896940116,0.6930730242,-0.0033790126,0.9951245937,0.6772706814,0.7021173419
cb256-r4-s123,local1,2048,512,513-1024,135480,0.6755609684,0.6795246531,-0.0039636847,0.9941669744,0.6730679970,0.6780539398
cb256-r4-s123,local1,2048,512,1025-2048,115181,0.6469209331,0.6503676822,-0.0034467491,0.9947003069,0.6441608178,0.6496810485
cb256-r4-s123,local1,4096,512,33-64,1,1.0000000000,1.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000
cb256-r4-s123,local1,4096,512,65-128,47,0.7659574468,0.8085106383,-0.0425531915,0.9473684210,0.6449096533,0.8870052403
cb256-r4-s123,local1,4096,512,129-256,1188,0.6986531987,0.6986531987,0.0000000000,1.0000000000,0.6725609223,0.7247454750
cb256-r4-s123,local1,4096,512,257-512,11677,0.6969255802,0.7010362251,-0.0041106449,0.9941363303,0.6885895693,0.7052615911
cb256-r4-s123,local1,4096,512,513-1024,80946,0.6851604774,0.6895461172,-0.0043856398,0.9936398166,0.6819608519,0.6883601029
cb256-r4-s123,local1,4096,512,1025-2048,100585,0.6242382065,0.6278868619,-0.0036486554,0.9941889923,0.6212451084,0.6272313045
cb256-r4-s123,local1,4096,512,2049-4096,61556,0.4957762038,0.4987166158,-0.0029404120,0.9941040424,0.4918264013,0.4997260063
cb256-r4-s123,local1,4096,1024,257-512,9,0.3333333333,0.3333333333,0.0000000000,1.0000000000,0.0253490464,0.6413176203
cb256-r4-s123,local1,4096,1024,513-1024,10403,0.3921945593,0.3924829376,-0.0002883783,0.9992652463,0.3828122478,0.4015768707
