abs_diff_from_ref,accuracy,batch_candidates,checkpoint_path,checkpoint_sha256,ci95_high,ci95_low,config_override,correct,dataset_hash,eval_batch_size,eval_seed,failure_detail,failure_type,fallback_count,fallback_failures,model_label,n,official_accuracy_ref,official_dataset_hash_ref,peak_memory_mb,run_status,sanity_status,seed,slice_num_kv_pairs,slice_seq_len,source_config_family,source_model_family,source_run_id,stderr,variant,variant_label,wall_clock_sec
0.0000000000,0.8941562500,8;4;2;1,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260520-flash-capacity-decomposition-gd-cb256-r4-s123-2026-05-20-13-04-52/gd-cb256-r4-s123-d123-b64-ga4-fp32-noearly4ep/last.pt,d3dc1bbc0cdb8167724ce29ec83deeb980d6f957719441e259bde63ed8d22281,0.8958416012,0.8924708988,"{""layers"": {""layer_0"": {""after"": {""block_len"": 32, ""if_remote_enabled"": true, ""local_num_blocks"": 2}, ""before"": {""block_len"": 32, ""if_remote_enabled"": true, ""local_num_blocks"": 2}}}, ""num_flash_layers"": 1, ""override"": {}}",114452,f30f1e09e1300deb2e0f430d7c50c47a77f58f43657aa4d6f425f938a91a9acb,8,123,,,0,[],cb256-r4-s123,128000,0.89415625,f30f1e09e1300deb2e0f430d7c50c47a77f58f43657aa4d6f425f938a91a9acb,561.357,completed,passed,123,256,1024,cb256-r4,flash,gd-cb256-r4-s123-d123-b64-ga4-fp32-noearly4ep,0.0008598730,full,cb256-r4-s123:full,81.775
0.0000000000,0.6666914063,8;4;2;1,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260520-flash-capacity-decomposition-gd-cb256-r4-s123-2026-05-20-13-04-52/gd-cb256-r4-s123-d123-b64-ga4-fp32-noearly4ep/last.pt,d3dc1bbc0cdb8167724ce29ec83deeb980d6f957719441e259bde63ed8d22281,0.6685174945,0.6648653180,"{""layers"": {""layer_0"": {""after"": {""block_len"": 32, ""if_remote_enabled"": true, ""local_num_blocks"": 2}, ""before"": {""block_len"": 32, ""if_remote_enabled"": true, ""local_num_blocks"": 2}}}, ""num_flash_layers"": 1, ""override"": {}}",170673,e446efc9f4dc774377c56c403a468c747870beb18ff0320f15df794dcb69f015,8,123,,,0,[],cb256-r4-s123,256000,0.66669140625,e446efc9f4dc774377c56c403a468c747870beb18ff0320f15df794dcb69f015,1109.668,completed,passed,123,512,2048,cb256-r4,flash,gd-cb256-r4-s123-d123-b64-ga4-fp32-noearly4ep,0.0009316777,full,cb256-r4-s123:full,160.174
,0.6200234375,8;4;2;1,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260520-flash-capacity-decomposition-gd-cb256-r4-s123-2026-05-20-13-04-52/gd-cb256-r4-s123-d123-b64-ga4-fp32-noearly4ep/last.pt,d3dc1bbc0cdb8167724ce29ec83deeb980d6f957719441e259bde63ed8d22281,0.6219037003,0.6181431747,"{""layers"": {""layer_0"": {""after"": {""block_len"": 32, ""if_remote_enabled"": true, ""local_num_blocks"": 2}, ""before"": {""block_len"": 32, ""if_remote_enabled"": true, ""local_num_blocks"": 2}}}, ""num_flash_layers"": 1, ""override"": {}}",158726,c0d72f24f32e8afcd192453a15113cee60455375a8563fbf8b3cfd3ba191f68f,8,123,,,0,[],cb256-r4-s123,256000,,,2206.688,completed,no_ref,123,512,4096,cb256-r4,flash,gd-cb256-r4-s123-d123-b64-ga4-fp32-noearly4ep,0.0009593177,full,cb256-r4-s123:full,325.973
0.0000000000,0.3806777344,8;4;2;1,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260520-flash-capacity-decomposition-gd-cb256-r4-s123-2026-05-20-13-04-52/gd-cb256-r4-s123-d123-b64-ga4-fp32-noearly4ep/last.pt,d3dc1bbc0cdb8167724ce29ec83deeb980d6f957719441e259bde63ed8d22281,0.3820077544,0.3793477144,"{""layers"": {""layer_0"": {""after"": {""block_len"": 32, ""if_remote_enabled"": true, ""local_num_blocks"": 2}, ""before"": {""block_len"": 32, ""if_remote_enabled"": true, ""local_num_blocks"": 2}}}, ""num_flash_layers"": 1, ""override"": {}}",194907,0981292ce8ebea1402a4c3a7a6655dfc1de42688c329bd5ea921541a0f1d16ed,8,123,,,0,[],cb256-r4-s123,512000,0.380677734375,0981292ce8ebea1402a4c3a7a6655dfc1de42688c329bd5ea921541a0f1d16ed,2206.688,completed,passed,123,1024,4096,cb256-r4,flash,gd-cb256-r4-s123-d123-b64-ga4-fp32-noearly4ep,0.0006785816,full,cb256-r4-s123:full,316.245
,0.0002578125,8;4;2;1,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260520-flash-capacity-decomposition-gd-cb256-r4-s123-2026-05-20-13-04-52/gd-cb256-r4-s123-d123-b64-ga4-fp32-noearly4ep/last.pt,d3dc1bbc0cdb8167724ce29ec83deeb980d6f957719441e259bde63ed8d22281,0.0003457648,0.0001698602,"{""layers"": {""layer_0"": {""after"": {""block_len"": 32, ""if_remote_enabled"": false, ""local_num_blocks"": 2}, ""before"": {""block_len"": 32, ""if_remote_enabled"": true, ""local_num_blocks"": 2}}}, ""num_flash_layers"": 1, ""override"": {""if_remote_enabled"": false, ""local_num_blocks"": 2}}",33,f30f1e09e1300deb2e0f430d7c50c47a77f58f43657aa4d6f425f938a91a9acb,8,123,,,0,[],cb256-r4-s123,128000,0.89415625,f30f1e09e1300deb2e0f430d7c50c47a77f58f43657aa4d6f425f938a91a9acb,383.301,completed,not_applicable,123,256,1024,cb256-r4,flash,gd-cb256-r4-s123-d123-b64-ga4-fp32-noearly4ep,0.0000448736,local_only,cb256-r4-s123:local_only,77.797
,0.0002695313,8;4;2;1,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260520-flash-capacity-decomposition-gd-cb256-r4-s123-2026-05-20-13-04-52/gd-cb256-r4-s123-d123-b64-ga4-fp32-noearly4ep/last.pt,d3dc1bbc0cdb8167724ce29ec83deeb980d6f957719441e259bde63ed8d22281,0.0003331203,0.0002059422,"{""layers"": {""layer_0"": {""after"": {""block_len"": 32, ""if_remote_enabled"": false, ""local_num_blocks"": 2}, ""before"": {""block_len"": 32, ""if_remote_enabled"": true, ""local_num_blocks"": 2}}}, ""num_flash_layers"": 1, ""override"": {""if_remote_enabled"": false, ""local_num_blocks"": 2}}",69,e446efc9f4dc774377c56c403a468c747870beb18ff0320f15df794dcb69f015,8,123,,,0,[],cb256-r4-s123,256000,0.66669140625,e446efc9f4dc774377c56c403a468c747870beb18ff0320f15df794dcb69f015,745.340,completed,not_applicable,123,512,2048,cb256-r4,flash,gd-cb256-r4-s123-d123-b64-ga4-fp32-noearly4ep,0.0000324434,local_only,cb256-r4-s123:local_only,158.279
,0.0001757812,8;4;2;1,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260520-flash-capacity-decomposition-gd-cb256-r4-s123-2026-05-20-13-04-52/gd-cb256-r4-s123-d123-b64-ga4-fp32-noearly4ep/last.pt,d3dc1bbc0cdb8167724ce29ec83deeb980d6f957719441e259bde63ed8d22281,0.0002271364,0.0001244261,"{""layers"": {""layer_0"": {""after"": {""block_len"": 32, ""if_remote_enabled"": false, ""local_num_blocks"": 2}, ""before"": {""block_len"": 32, ""if_remote_enabled"": true, ""local_num_blocks"": 2}}}, ""num_flash_layers"": 1, ""override"": {""if_remote_enabled"": false, ""local_num_blocks"": 2}}",45,c0d72f24f32e8afcd192453a15113cee60455375a8563fbf8b3cfd3ba191f68f,8,123,,,0,[],cb256-r4-s123,256000,,,1469.229,completed,not_applicable,123,512,4096,cb256-r4,flash,gd-cb256-r4-s123-d123-b64-ga4-fp32-noearly4ep,0.0000262016,local_only,cb256-r4-s123:local_only,322.466
,0.0002246094,8;4;2;1,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260520-flash-capacity-decomposition-gd-cb256-r4-s123-2026-05-20-13-04-52/gd-cb256-r4-s123-d123-b64-ga4-fp32-noearly4ep/last.pt,d3dc1bbc0cdb8167724ce29ec83deeb980d6f957719441e259bde63ed8d22281,0.0002656568,0.0001835619,"{""layers"": {""layer_0"": {""after"": {""block_len"": 32, ""if_remote_enabled"": false, ""local_num_blocks"": 2}, ""before"": {""block_len"": 32, ""if_remote_enabled"": true, ""local_num_blocks"": 2}}}, ""num_flash_layers"": 1, ""override"": {""if_remote_enabled"": false, ""local_num_blocks"": 2}}",115,0981292ce8ebea1402a4c3a7a6655dfc1de42688c329bd5ea921541a0f1d16ed,8,123,,,0,[],cb256-r4-s123,512000,0.380677734375,0981292ce8ebea1402a4c3a7a6655dfc1de42688c329bd5ea921541a0f1d16ed,1469.301,completed,not_applicable,123,1024,4096,cb256-r4,flash,gd-cb256-r4-s123-d123-b64-ga4-fp32-noearly4ep,0.0000209426,local_only,cb256-r4-s123:local_only,317.953
,0.8899453125,8;4;2;1,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260520-flash-capacity-decomposition-gd-cb256-r4-s123-2026-05-20-13-04-52/gd-cb256-r4-s123-d123-b64-ga4-fp32-noearly4ep/last.pt,d3dc1bbc0cdb8167724ce29ec83deeb980d6f957719441e259bde63ed8d22281,0.8916598106,0.8882308144,"{""layers"": {""layer_0"": {""after"": {""block_len"": 32, ""if_remote_enabled"": true, ""local_num_blocks"": 1}, ""before"": {""block_len"": 32, ""if_remote_enabled"": true, ""local_num_blocks"": 2}}}, ""num_flash_layers"": 1, ""override"": {""if_remote_enabled"": true, ""local_num_blocks"": 1}}",113913,f30f1e09e1300deb2e0f430d7c50c47a77f58f43657aa4d6f425f938a91a9acb,8,123,,,0,[],cb256-r4-s123,128000,0.89415625,f30f1e09e1300deb2e0f430d7c50c47a77f58f43657aa4d6f425f938a91a9acb,555.105,completed,not_applicable,123,256,1024,cb256-r4,flash,gd-cb256-r4-s123-d123-b64-ga4-fp32-noearly4ep,0.0008747440,local1,cb256-r4-s123:local1,79.685
,0.6629726563,8;4;2;1,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260520-flash-capacity-decomposition-gd-cb256-r4-s123-2026-05-20-13-04-52/gd-cb256-r4-s123-d123-b64-ga4-fp32-noearly4ep/last.pt,d3dc1bbc0cdb8167724ce29ec83deeb980d6f957719441e259bde63ed8d22281,0.6648037748,0.6611415377,"{""layers"": {""layer_0"": {""after"": {""block_len"": 32, ""if_remote_enabled"": true, ""local_num_blocks"": 1}, ""before"": {""block_len"": 32, ""if_remote_enabled"": true, ""local_num_blocks"": 2}}}, ""num_flash_layers"": 1, ""override"": {""if_remote_enabled"": true, ""local_num_blocks"": 1}}",169721,e446efc9f4dc774377c56c403a468c747870beb18ff0320f15df794dcb69f015,8,123,,,0,[],cb256-r4-s123,256000,0.66669140625,e446efc9f4dc774377c56c403a468c747870beb18ff0320f15df794dcb69f015,1097.548,completed,not_applicable,123,512,2048,cb256-r4,flash,gd-cb256-r4-s123-d123-b64-ga4-fp32-noearly4ep,0.0009342442,local1,cb256-r4-s123:local1,157.843
