source_actual_kernel_dtype,source_artifact,source_batch_accum_profile,source_ckpt_epoch,source_ckpt_exists,source_ckpt_identity,source_ckpt_mtime_utc,source_ckpt_path,source_ckpt_path_abs,source_ckpt_sha256,source_ckpt_size_bytes,source_ckpt_step,source_ckpt_type,source_comparison_scope,source_config,source_config_family,source_config_id,source_configured_max_epochs,source_conv_size,source_data_seed,source_dtype_policy,source_dynamic_capacity_per_layer,source_dynamic_capacity_total,source_early_stopping_disabled,source_effective_train_batch_size,source_eval_batch_size,source_expand_v,source_final_epoch,source_final_valid_accuracy,source_final_valid_loss,source_final_valid_mqar_case_accuracy_1024x256,source_gdn_kernel_dtype,source_gradient_accumulation_steps,source_hidden_states_dtype,source_kernel_input_dtype,source_ledger_path,source_model_family,source_num_codebook_vectors,source_num_heads,source_outer_model_dtype,source_rank,source_role,source_run_id,source_run_type,source_scope,source_seed,source_train_batch_size,source_train_config_path,source_train_config_path_abs,source_train_config_sha256,source_trainable_params,source_use_gate,source_use_short_conv,source_validations_per_epoch
not_recorded,docs/artifacts/20260516-gd-residual-v1-capacity-sweep/capacity-sweep-final.csv,b64_ga4,3,true,sha256:9139a84039fd9d9f6b6c4ef132cf0f1c18917f20e3026400e3901de10f501772,2026-05-16T01:05:42.986384+00:00,checkpoints/flash-vqg-20260515-gd-capacity-cb256-r1-mu01-noearly-official-2026-05-15-21-49-05/gd-r1-wk4-mu01-t025-cb256-s123-d123-noearly4ep-capacity2x/last.pt,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260515-gd-capacity-cb256-r1-mu01-noearly-official-2026-05-15-21-49-05/gd-r1-wk4-mu01-t025-cb256-s123-d123-noearly4ep-capacity2x/last.pt,9139a84039fd9d9f6b6c4ef132cf0f1c18917f20e3026400e3901de10f501772,8938437,,last.pt_epoch4_final,gd_residual_v1_cb256_noearly4ep,cb256-r1,cb256-r1,cb256-r1,4,,123,float32,,32768,true,256,16,,4,0.864,0.637,0.492,not_recorded,4,float32,float32,docs/artifacts/gd-residual-v1/rank-seed-effect-summary.csv,flash,256,,float32,1,cb256-r1,gd-r1-wk4-mu01-t025-cb256-s123-d123-noearly4ep-capacity2x,capacity_sweep,b64_ga4_fp32_historical_inferred,123,64,checkpoints/flash-vqg-20260515-gd-capacity-cb256-r1-mu01-noearly-official-2026-05-15-21-49-05/gd-r1-wk4-mu01-t025-cb256-s123-d123-noearly4ep-capacity2x/train_config.json,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260515-gd-capacity-cb256-r1-mu01-noearly-official-2026-05-15-21-49-05/gd-r1-wk4-mu01-t025-cb256-s123-d123-noearly4ep-capacity2x/train_config.json,98568cb8e4d03a28eb630be06a2fc98780cd1096b080a7165a9db714ef9b17a9,1183046,,,2
not_recorded,docs/artifacts/20260516-gd-residual-v1-capacity-sweep/capacity-sweep-final.csv,b64_ga4,3,true,sha256:2d7deffca4ca9f9954a89c645e76fda9626286546942fd613a76ccf10291304d,2026-05-16T01:45:19.422856+00:00,checkpoints/flash-vqg-20260515-gd-capacity-cb256-r2-mu01-noearly-official-2026-05-15-21-45-54/gd-r2-wk4-mu01-t025-cb256-s123-d123-noearly4ep-capacity4x/last.pt,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260515-gd-capacity-cb256-r2-mu01-noearly-official-2026-05-15-21-45-54/gd-r2-wk4-mu01-t025-cb256-s123-d123-noearly4ep-capacity4x/last.pt,2d7deffca4ca9f9954a89c645e76fda9626286546942fd613a76ccf10291304d,8938949,,last.pt_epoch4_final,gd_residual_v1_cb256_noearly4ep,cb256-r2,cb256-r2,cb256-r2,4,,123,float32,,65536,true,256,16,,4,0.946,0.265,0.776,not_recorded,4,float32,float32,docs/artifacts/gd-residual-v1/rank-seed-effect-summary.csv,flash,256,,float32,2,cb256-r2,gd-r2-wk4-mu01-t025-cb256-s123-d123-noearly4ep-capacity4x,capacity_sweep,b64_ga4_fp32_historical_inferred,123,64,checkpoints/flash-vqg-20260515-gd-capacity-cb256-r2-mu01-noearly-official-2026-05-15-21-45-54/gd-r2-wk4-mu01-t025-cb256-s123-d123-noearly4ep-capacity4x/train_config.json,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260515-gd-capacity-cb256-r2-mu01-noearly-official-2026-05-15-21-45-54/gd-r2-wk4-mu01-t025-cb256-s123-d123-noearly4ep-capacity4x/train_config.json,e1acca3b372c7a210169764cec197deded37d2222a46cd5203430163155b9ab6,1183174,,,2
not_recorded,docs/artifacts/20260516-gd-residual-v1-capacity-sweep/capacity-sweep-final.csv,b64_ga4,3,true,sha256:3d3e0e992b4ba6936651108ec81aad4fbd35eb3444d00b9d2f1559bf285e1a90,2026-05-15T21:45:24.392719+00:00,checkpoints/flash-vqg-20260515-gd-capacity-cb256-r4-mu01-noearly-official-2026-05-15-17-19-26/gd-r4-wk4-mu01-t025-cb256-s123-d123-noearly4ep-capacity8x/last.pt,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260515-gd-capacity-cb256-r4-mu01-noearly-official-2026-05-15-17-19-26/gd-r4-wk4-mu01-t025-cb256-s123-d123-noearly4ep-capacity8x/last.pt,3d3e0e992b4ba6936651108ec81aad4fbd35eb3444d00b9d2f1559bf285e1a90,8939973,,last.pt_epoch4_final,gd_residual_v1_cb256_noearly4ep,cb256-r4,cb256-r4,cb256-r4,4,,123,float32,,131072,true,256,16,,4,0.986,0.0961,0.938,not_recorded,4,float32,float32,docs/artifacts/gd-residual-v1/rank-seed-effect-summary.csv,flash,256,,float32,4,cb256-r4,gd-r4-wk4-mu01-t025-cb256-s123-d123-noearly4ep-capacity8x,capacity_sweep,b64_ga4_fp32_historical_inferred,123,64,checkpoints/flash-vqg-20260515-gd-capacity-cb256-r4-mu01-noearly-official-2026-05-15-17-19-26/gd-r4-wk4-mu01-t025-cb256-s123-d123-noearly4ep-capacity8x/train_config.json,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260515-gd-capacity-cb256-r4-mu01-noearly-official-2026-05-15-17-19-26/gd-r4-wk4-mu01-t025-cb256-s123-d123-noearly4ep-capacity8x/train_config.json,cd271541ba0bcffe22186840b9d6b31a0c8473fbcd644afde22bf6240dc752a0,1183430,,,2
not_recorded,docs/artifacts/20260516-gd-residual-v1-capacity-sweep/capacity-sweep-final.csv,b64_ga4,3,true,sha256:3b2aeb167d63f9dbd7641630394dacec15f84bb23bb898529b06b315c309c3e2,2026-05-15T21:48:34.798417+00:00,checkpoints/flash-vqg-20260515-gd-capacity-cb256-r8-mu01-noearly-official-2026-05-15-17-19-26/gd-r8-wk4-mu01-t025-cb256-s123-d123-noearly4ep-capacity16x/last.pt,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260515-gd-capacity-cb256-r8-mu01-noearly-official-2026-05-15-17-19-26/gd-r8-wk4-mu01-t025-cb256-s123-d123-noearly4ep-capacity16x/last.pt,3b2aeb167d63f9dbd7641630394dacec15f84bb23bb898529b06b315c309c3e2,8942021,,last.pt_epoch4_final,gd_residual_v1_cb256_noearly4ep,cb256-r8,cb256-r8,cb256-r8,4,,123,float32,,262144,true,256,16,,4,0.957,0.28,0.737,not_recorded,4,float32,float32,docs/artifacts/gd-residual-v1/rank-seed-effect-summary.csv,flash,256,,float32,8,cb256-r8,gd-r8-wk4-mu01-t025-cb256-s123-d123-noearly4ep-capacity16x,capacity_sweep,b64_ga4_fp32_historical_inferred,123,64,checkpoints/flash-vqg-20260515-gd-capacity-cb256-r8-mu01-noearly-official-2026-05-15-17-19-26/gd-r8-wk4-mu01-t025-cb256-s123-d123-noearly4ep-capacity16x/train_config.json,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260515-gd-capacity-cb256-r8-mu01-noearly-official-2026-05-15-17-19-26/gd-r8-wk4-mu01-t025-cb256-s123-d123-noearly4ep-capacity16x/train_config.json,5d964ed58499a82324143d78e8a5046ed0907864de86870fb3b5d6daac066936,1183942,,,2
not_recorded,docs/artifacts/20260516-gd-residual-v1-capacity-sweep/capacity-sweep-final.csv,b64_ga4,3,true,sha256:bbeecbc363befbcc3a2a2a47e032991330e002da41be404fc8aea0f88fcebe2b,2026-05-15T10:12:42.992715+00:00,checkpoints/flash-vqg-20260515-gd-r16-wk4-mu01-t025-cb256-s123-d123-noearly-official-2026-05-15-04-56-09/gd-r16-wk4-mu01-t025-cb256-s123-d123-noearly4ep/last.pt,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260515-gd-r16-wk4-mu01-t025-cb256-s123-d123-noearly-official-2026-05-15-04-56-09/gd-r16-wk4-mu01-t025-cb256-s123-d123-noearly4ep/last.pt,bbeecbc363befbcc3a2a2a47e032991330e002da41be404fc8aea0f88fcebe2b,8946117,,last.pt_epoch4_final,gd_residual_v1_cb256_noearly4ep,cb256-r16,cb256-r16,cb256-r16,4,,123,float32,,524288,true,256,16,,4,0.996,0.0672,0.98,not_recorded,4,float32,float32,docs/artifacts/gd-residual-v1/rank-seed-effect-summary.csv,flash,256,,float32,16,cb256-r16,gd-r16-wk4-mu01-t025-cb256-s123-d123-noearly4ep,anchor,b64_ga4_fp32_historical_inferred,123,64,checkpoints/flash-vqg-20260515-gd-r16-wk4-mu01-t025-cb256-s123-d123-noearly-official-2026-05-15-04-56-09/gd-r16-wk4-mu01-t025-cb256-s123-d123-noearly4ep/train_config.json,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260515-gd-r16-wk4-mu01-t025-cb256-s123-d123-noearly-official-2026-05-15-04-56-09/gd-r16-wk4-mu01-t025-cb256-s123-d123-noearly4ep/train_config.json,0e7357bce6685d89e3820e67530a30fdd75808caeb90f69ffe5528c39871f67f,1184966,,,2
not_recorded,docs/artifacts/20260517-gd-r4-r8-crossgpu/crossgpu-final.csv,b64_ga4,3,true,sha256:ec98d0ac3addc2582954d89122e1d31e918c95de0f7ab039fee43245e7d0203d,2026-05-16T21:51:02.406547+00:00,checkpoints/flash-vqg-20260516-gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly-r4r8-recheck-2026-05-16-16-56-59/gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck/last.pt,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260516-gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly-r4r8-recheck-2026-05-16-16-56-59/gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck/last.pt,ec98d0ac3addc2582954d89122e1d31e918c95de0f7ab039fee43245e7d0203d,8940037,,last.pt_epoch4_final,gd_residual_v1_cb256_noearly4ep,cb256-r4-s124-gpu0,cb256-r4,cb256-r4-s124-gpu0,4,,123,float32,,131072,true,256,16,,4,0.9494521484375,0.3415682911872864,0.6872890625,not_recorded,4,float32,float32,docs/artifacts/gd-residual-v1/rank-seed-effect-summary.csv,flash,256,,float32,4,cb256-r4,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,original,b64_ga4_fp32_historical_inferred,124,64,checkpoints/flash-vqg-20260516-gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly-r4r8-recheck-2026-05-16-16-56-59/gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck/train_config.json,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260516-gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly-r4r8-recheck-2026-05-16-16-56-59/gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck/train_config.json,75fc40d233d01aa28d92d8080ff87304822d0a70e5613a24e8e1350f5f20bd3c,1183430,,,2
not_recorded,docs/artifacts/20260517-gd-r4-r8-crossgpu/crossgpu-final.csv,b64_ga4,3,true,sha256:05ce38ae9e115f92f6948612ea18bfec3e225a880d5f75392dbde9b6c3020d65,2026-05-17T09:52:19.620826+00:00,checkpoints/flash-vqg-20260517-gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly-crossgpu-gpu1-2026-05-17-04-23-27/gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-crossgpu-gpu1/last.pt,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260517-gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly-crossgpu-gpu1-2026-05-17-04-23-27/gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-crossgpu-gpu1/last.pt,05ce38ae9e115f92f6948612ea18bfec3e225a880d5f75392dbde9b6c3020d65,8940037,,last.pt_epoch4_final,gd_residual_v1_cb256_noearly4ep,cb256-r4-s124-gpu1,cb256-r4,cb256-r4-s124-gpu1,4,,123,float32,,131072,true,256,16,,4,0.955798828125,0.31066733598709106,0.73059375,not_recorded,4,float32,float32,docs/artifacts/gd-residual-v1/rank-seed-effect-summary.csv,flash,256,,float32,4,cb256-r4,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-crossgpu-gpu1,cross_gpu_repeat,b64_ga4_fp32_historical_inferred,124,64,checkpoints/flash-vqg-20260517-gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly-crossgpu-gpu1-2026-05-17-04-23-27/gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-crossgpu-gpu1/train_config.json,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260517-gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly-crossgpu-gpu1-2026-05-17-04-23-27/gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-crossgpu-gpu1/train_config.json,10d5763e0c85889b72061bc75033c50073dbfb39f8a9971916d8e65630fcfb8a,1183430,,,2
not_recorded,docs/artifacts/20260517-gd-r4-r8-crossgpu/crossgpu-final.csv,b64_ga4,3,true,sha256:9b58f1561461ec641f0d50b01703e5fb4272ccbe42cffa87f5f5606c16af1d8a,2026-05-16T21:59:33.739587+00:00,checkpoints/flash-vqg-20260516-gd-r8-wk4-mu01-t025-cb256-s124-d123-noearly-r4r8-recheck-2026-05-16-16-56-59/gd-r8-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck/last.pt,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260516-gd-r8-wk4-mu01-t025-cb256-s124-d123-noearly-r4r8-recheck-2026-05-16-16-56-59/gd-r8-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck/last.pt,9b58f1561461ec641f0d50b01703e5fb4272ccbe42cffa87f5f5606c16af1d8a,8942085,,last.pt_epoch4_final,gd_residual_v1_cb256_noearly4ep,cb256-r8-s124-gpu1,cb256-r8,cb256-r8-s124-gpu1,4,,123,float32,,262144,true,256,16,,4,0.99276513671875,0.07733848690986633,0.96502734375,not_recorded,4,float32,float32,docs/artifacts/gd-residual-v1/rank-seed-effect-summary.csv,flash,256,,float32,8,cb256-r8,gd-r8-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,original,b64_ga4_fp32_historical_inferred,124,64,checkpoints/flash-vqg-20260516-gd-r8-wk4-mu01-t025-cb256-s124-d123-noearly-r4r8-recheck-2026-05-16-16-56-59/gd-r8-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck/train_config.json,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260516-gd-r8-wk4-mu01-t025-cb256-s124-d123-noearly-r4r8-recheck-2026-05-16-16-56-59/gd-r8-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck/train_config.json,76f73a073174c55e803c4f77158e772b5a9b82ff0bf47292120bc5111f921d2c,1183942,,,2
not_recorded,docs/artifacts/20260517-gd-r4-r8-crossgpu/crossgpu-final.csv,b64_ga4,3,true,sha256:e267709400811505b680311dec8058762ae62d73bb077c8e868e243b6b043f3e,2026-05-17T09:36:11.995843+00:00,checkpoints/flash-vqg-20260517-gd-r8-wk4-mu01-t025-cb256-s124-d123-noearly-crossgpu-gpu0-2026-05-17-04-23-27/gd-r8-wk4-mu01-t025-cb256-s124-d123-noearly4ep-crossgpu-gpu0/last.pt,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260517-gd-r8-wk4-mu01-t025-cb256-s124-d123-noearly-crossgpu-gpu0-2026-05-17-04-23-27/gd-r8-wk4-mu01-t025-cb256-s124-d123-noearly4ep-crossgpu-gpu0/last.pt,e267709400811505b680311dec8058762ae62d73bb077c8e868e243b6b043f3e,8942085,,last.pt_epoch4_final,gd_residual_v1_cb256_noearly4ep,cb256-r8-s124-gpu0,cb256-r8,cb256-r8-s124-gpu0,4,,123,float32,,262144,true,256,16,,4,0.98282421875,0.14645721018314362,0.8988125,not_recorded,4,float32,float32,docs/artifacts/gd-residual-v1/rank-seed-effect-summary.csv,flash,256,,float32,8,cb256-r8,gd-r8-wk4-mu01-t025-cb256-s124-d123-noearly4ep-crossgpu-gpu0,cross_gpu_repeat,b64_ga4_fp32_historical_inferred,124,64,checkpoints/flash-vqg-20260517-gd-r8-wk4-mu01-t025-cb256-s124-d123-noearly-crossgpu-gpu0-2026-05-17-04-23-27/gd-r8-wk4-mu01-t025-cb256-s124-d123-noearly4ep-crossgpu-gpu0/train_config.json,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260517-gd-r8-wk4-mu01-t025-cb256-s124-d123-noearly-crossgpu-gpu0-2026-05-17-04-23-27/gd-r8-wk4-mu01-t025-cb256-s124-d123-noearly4ep-crossgpu-gpu0/train_config.json,f834d74ff73371afd7a693acaf0de7cd116302cbb6cbcc29d4876b1043114948,1183942,,,2
not_recorded,docs/artifacts/20260517-gd-rank-stability-r16-robustness/rank-stability-r16-robustness-final.csv,b64_ga4,3,true,sha256:21f546667843da37568eefeee71dcf637ca6647fd4afe915b54c052102b5d347,2026-05-17T22:57:40.580869+00:00,checkpoints/flash-vqg-20260517-gd-r16-wk4-mu01-t025-cb256-s124-d123-noearly-2026-05-17-17-39-47/gd-r16-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r16-robustness/last.pt,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260517-gd-r16-wk4-mu01-t025-cb256-s124-d123-noearly-2026-05-17-17-39-47/gd-r16-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r16-robustness/last.pt,21f546667843da37568eefeee71dcf637ca6647fd4afe915b54c052102b5d347,8946117,,last.pt_epoch4_final,gd_residual_v1_cb256_noearly4ep,cb256-r16-s124,cb256-r16,cb256-r16-s124,4,,123,float32,,524288,true,256,16,,4,0.980533203125,0.16711272299289703,0.8765078125,not_recorded,4,float32,float32,docs/artifacts/gd-residual-v1/rank-seed-effect-summary.csv,flash,256,,float32,16,cb256-r16,gd-r16-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r16-robustness,original,b64_ga4_fp32_historical_inferred,124,64,checkpoints/flash-vqg-20260517-gd-r16-wk4-mu01-t025-cb256-s124-d123-noearly-2026-05-17-17-39-47/gd-r16-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r16-robustness/train_config.json,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260517-gd-r16-wk4-mu01-t025-cb256-s124-d123-noearly-2026-05-17-17-39-47/gd-r16-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r16-robustness/train_config.json,e7112a5ce086ef438692e0a580c09c1a89f89475cdab1b6b455b490aee5fe0d2,1184966,,,2
