metric,step,epoch,timestamp,value
attn/gd_residual_inject_ratio,0,1,2026-04-25T20:43:58.127707+00:00,0.0
attn/gd_residual_inject_ratio,1,2,2026-04-25T20:46:42.238493+00:00,1.446892261505127
attn/gd_residual_inject_ratio,2,3,2026-04-25T20:50:06.777619+00:00,1.4157421588897705
attn/gd_residual_lambda_mean,0,1,2026-04-25T20:43:58.127464+00:00,0.5009276270866394
attn/gd_residual_lambda_mean,1,2,2026-04-25T20:46:42.238424+00:00,0.49845370650291443
attn/gd_residual_lambda_mean,2,3,2026-04-25T20:50:06.777364+00:00,0.498212993144989
attn/gd_residual_m_norm_max,0,1,2026-04-25T20:43:58.126940+00:00,0.2649024724960327
attn/gd_residual_m_norm_max,1,2,2026-04-25T20:46:42.238253+00:00,0.20512628555297852
attn/gd_residual_m_norm_max,2,3,2026-04-25T20:50:06.777179+00:00,0.21564801037311554
attn/gd_residual_m_norm_mean,0,1,2026-04-25T20:43:58.126495+00:00,0.017071625217795372
attn/gd_residual_m_norm_mean,1,2,2026-04-25T20:46:42.238161+00:00,0.03379582613706589
attn/gd_residual_m_norm_mean,2,3,2026-04-25T20:50:06.777053+00:00,0.03374360129237175
attn/gd_residual_mu_valid_ratio,0,1,2026-04-25T20:43:58.127231+00:00,0.0
attn/gd_residual_mu_valid_ratio,1,2,2026-04-25T20:46:42.238355+00:00,0.0
attn/gd_residual_mu_valid_ratio,2,3,2026-04-25T20:50:06.777280+00:00,0.0
attn/gd_residual_write_strength_mean,0,1,2026-04-25T20:43:58.126366+00:00,0.12521860003471375
attn/gd_residual_write_strength_mean,1,2,2026-04-25T20:46:42.237966+00:00,0.12493318319320679
attn/gd_residual_write_strength_mean,2,3,2026-04-25T20:50:06.776827+00:00,0.12445442378520966
train/loss,0,1,2026-04-25T20:43:58.125944+00:00,10.98401403427124
train/loss,1,2,2026-04-25T20:46:42.237805+00:00,10.97733187675476
train/loss,2,3,2026-04-25T20:50:06.776683+00:00,10.964067101478577
valid/accuracy,3,1,2026-04-25T20:50:25.540644+00:00,0.0
valid/attn/gd_residual_inject_ratio,3,1,2026-04-25T20:50:25.545098+00:00,0.9975401647388935
valid/attn/gd_residual_lambda_mean,3,1,2026-04-25T20:50:25.544962+00:00,0.4975694650784135
valid/attn/gd_residual_m_norm_max,3,1,2026-04-25T20:50:25.544778+00:00,0.1900218166410923
valid/attn/gd_residual_m_norm_mean,3,1,2026-04-25T20:50:25.544684+00:00,0.027975599688943475
valid/attn/gd_residual_mu_valid_ratio,3,1,2026-04-25T20:50:25.544870+00:00,0.0
valid/attn/gd_residual_write_strength_mean,3,1,2026-04-25T20:50:25.544589+00:00,0.1247169857379049
valid/input_seq_len/accuracy-1024,3,1,2026-04-25T20:50:25.543402+00:00,0.0
valid/input_seq_len/accuracy-128,3,1,2026-04-25T20:50:25.542895+00:00,0.0
valid/input_seq_len/accuracy-256,3,1,2026-04-25T20:50:25.543093+00:00,0.0
valid/input_seq_len/accuracy-512,3,1,2026-04-25T20:50:25.543250+00:00,0.0
valid/input_seq_len/accuracy-64,3,1,2026-04-25T20:50:25.542737+00:00,0.0
valid/loss,3,1,2026-04-25T20:50:25.540512+00:00,9.046424865722656
valid/mqar_case/accuracy-1024x256,3,1,2026-04-25T20:50:25.543556+00:00,0.0
valid/mqar_case/accuracy-128x32,3,1,2026-04-25T20:50:25.543719+00:00,0.0
valid/mqar_case/accuracy-256x64,3,1,2026-04-25T20:50:25.543938+00:00,0.0
valid/mqar_case/accuracy-512x128,3,1,2026-04-25T20:50:25.544088+00:00,0.0
valid/mqar_case/accuracy-512x64,3,1,2026-04-25T20:50:25.544197+00:00,0.0
valid/mqar_case/accuracy-64x16,3,1,2026-04-25T20:50:25.544308+00:00,0.0
valid/mqar_case/accuracy-64x4,3,1,2026-04-25T20:50:25.544404+00:00,0.0
valid/mqar_case/accuracy-64x8,3,1,2026-04-25T20:50:25.544494+00:00,0.0
valid/num_kv_pairs/accuracy-128,3,1,2026-04-25T20:50:25.542399+00:00,0.0
valid/num_kv_pairs/accuracy-16,3,1,2026-04-25T20:50:25.541785+00:00,0.0
valid/num_kv_pairs/accuracy-256,3,1,2026-04-25T20:50:25.542572+00:00,0.0
valid/num_kv_pairs/accuracy-32,3,1,2026-04-25T20:50:25.542012+00:00,0.0
valid/num_kv_pairs/accuracy-4,3,1,2026-04-25T20:50:25.540839+00:00,0.0
valid/num_kv_pairs/accuracy-64,3,1,2026-04-25T20:50:25.542227+00:00,0.0
valid/num_kv_pairs/accuracy-8,3,1,2026-04-25T20:50:25.541222+00:00,0.0
valid/vq/c_entropy,3,1,2026-04-25T20:50:25.545375+00:00,4.851707696914673
valid/vq/c_usage_mean,3,1,2026-04-25T20:50:25.545284+00:00,2.5624999990686774
valid/vq/relative_err_mean,3,1,2026-04-25T20:50:25.545191+00:00,0.9768122676759958
valid/vq/write_entropy_mean,3,1,2026-04-25T20:50:25.545467+00:00,4.843153491616249
valid/vq/write_top1_mass_mean,3,1,2026-04-25T20:50:25.545592+00:00,0.010893204511376098
vq/c_entropy,0,1,2026-04-25T20:43:58.128357+00:00,4.852015018463135
vq/c_entropy,1,2,2026-04-25T20:46:42.238691+00:00,4.852008819580078
vq/c_entropy,2,3,2026-04-25T20:50:06.778054+00:00,4.851971626281738
vq/c_usage_mean,0,1,2026-04-25T20:43:58.128127+00:00,8.0
vq/c_usage_mean,1,2,2026-04-25T20:46:42.238627+00:00,32.0
vq/c_usage_mean,2,3,2026-04-25T20:50:06.777915+00:00,32.0
vq/relative_err_mean,0,1,2026-04-25T20:43:58.127902+00:00,0.988070011138916
vq/relative_err_mean,1,2,2026-04-25T20:46:42.238561+00:00,0.9849117398262024
vq/relative_err_mean,2,3,2026-04-25T20:50:06.777746+00:00,0.9815866947174072
vq/write_entropy_mean,0,1,2026-04-25T20:43:58.128556+00:00,4.844226837158203
vq/write_entropy_mean,1,2,2026-04-25T20:46:42.238756+00:00,4.843893051147461
vq/write_entropy_mean,2,3,2026-04-25T20:50:06.778235+00:00,4.84351110458374
vq/write_top1_mass_mean,0,1,2026-04-25T20:43:58.128752+00:00,0.010700132697820663
vq/write_top1_mass_mean,1,2,2026-04-25T20:46:42.238821+00:00,0.010747049003839493
vq/write_top1_mass_mean,2,3,2026-04-25T20:50:06.778361+00:00,0.010832903906702995
